element,date,n_points,n_standards,slope,sigma_slope,red_chi2,pooled_slope,pooled_sigma,homogeneity_red_chi2,recommend_single_factor
As,2025-04-18,11,4,0.9968735677387428,0.029365117866071325,2.541653521396166,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-04-19,12,4,0.9859376315127294,0.025595575356232452,1.9965731317519464,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-04-20,8,4,0.9784915498592714,0.030235563666942668,1.8866058510601285,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-05,8,4,0.9973575509030527,0.039312868412878316,3.1109551075939565,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-06,12,4,0.9921340884995518,0.029771218583130542,2.6964623471135614,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-07,8,4,0.9999670522878585,0.04080952387446077,3.3143600256620576,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-08,12,4,0.9698807667172784,0.024577452774367962,1.8770539609403571,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-13,8,4,0.9816557645612619,0.030985399533600515,1.9622990815785148,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-16,12,4,0.9942239811830221,0.03045918631935984,2.806244815138834,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-19,12,4,0.9773540499806391,0.0281479962192567,2.4251378926017093,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-20,12,4,0.9707737429228899,0.023120646816528364,1.6510126447219575,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-21,12,4,0.9811630980168967,0.028019916920486256,2.4113667418509532,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-22,12,4,0.9857323351109148,0.027674309914414184,2.3401251745449265,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-26,12,4,0.9857159553812512,0.029894745405847148,2.7214693289484275,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-27,12,4,0.9916419951664345,0.027201268797114233,2.233627339176218,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2025-05-28,12,4,1.0071304228194515,0.027815179312562666,2.3330942735468807,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2026-01-05,12,4,0.9927028946968758,0.027626857931479155,2.3123723346171547,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2026-01-06,12,4,0.987083407184913,0.03095950332105053,2.9250555085593777,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2026-01-07,12,4,0.9689548990733706,0.02289790848371499,1.6276232895407672,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2026-01-08,8,4,0.99275702825077,0.03775082436843515,2.8920553313212602,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
As,2026-01-09,12,4,0.9848988750786649,0.030319662597021044,2.798032015453013,0.9850557327208462,0.0052461518248202894,0.1404687480213128,True
Ba,2025-02-17,12,4,1.0938107119720715,0.021921152669481758,1.8522779769314375,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-18,12,4,1.0981881594034923,0.023717637676035026,2.166844966548924,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-24,8,4,1.0808178691856398,0.02543079679289571,1.6699193647483195,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-25,12,4,1.0812189032330222,0.020696880319358554,1.6641930658211506,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-26,12,4,1.0915035675212925,0.023710820558160515,2.1678967242074827,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-27,12,4,1.094350050381439,0.018260500153283867,1.2945366777241076,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-02-28,8,4,1.0722891970502755,0.02657583736935521,1.8294451247243997,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-04-15,12,4,1.07746893869788,0.024092003429468125,2.241357015715907,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-04-17,8,4,1.081536884410148,0.028467125963489538,2.1063678728427573,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-04-18,11,4,1.0805801743939483,0.025887348380596236,2.5320243624072045,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-04-19,12,4,1.0737228721199281,0.025404218341460616,2.498718889393687,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-04-20,8,4,1.058683532317659,0.026342204512877113,1.8099497148833177,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-05,8,4,1.085825017631351,0.02403657747259383,1.4983491733040988,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-06,12,4,1.0861287537741646,0.02072209458939021,1.6698599414885926,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-07,8,4,1.0676038822204346,0.02754425157146522,1.9665194391285326,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-08,12,4,1.0703306588065122,0.021690262330575777,1.8336581999743997,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-13,8,4,1.0850604628148424,0.031077400148236407,2.4835433047497935,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-16,12,4,1.0602035017788807,0.01859993654682909,1.3614418237579462,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-19,12,4,1.0692476892386575,0.022888399836023664,2.0378297478239733,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-20,12,4,1.0730234803230747,0.01886889263247621,1.3937502780561069,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-21,12,4,1.0855164503870336,0.023999059536566843,2.227424620512633,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-22,12,4,1.0738539601944377,0.02330638596651234,2.1074060290709062,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-26,12,4,1.0539823983712688,0.020556878020845205,1.668132104432526,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-27,12,4,1.059493676305379,0.020869949964683283,1.696781003777794,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2025-05-28,12,4,1.068455378404867,0.02193837904659715,1.8660368334113409,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2026-01-05,12,4,1.0658937648865205,0.02339144081141808,2.145560833812457,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2026-01-06,12,4,1.0744118647221537,0.02322703980643171,2.1073440246505566,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2026-01-07,12,4,1.0695500548785812,0.021415859852330566,1.7838183800377265,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2026-01-08,8,4,1.0577258379532997,0.028043188902129534,2.051981369891239,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ba,2026-01-09,12,4,1.047166786119513,0.02242074056910478,1.986853269385216,1.0744547189908293,0.004190041384351187,0.3231473874691371,True
Ca,2025-02-17,9,3,0.9364412521366051,0.017574067472866297,6.097175839005218,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-18,9,3,0.9384464746977276,0.017680203060377726,6.151255346758509,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-24,6,3,0.9345188683171233,0.023610871784780767,7.370649789416378,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-25,9,3,0.9425368982048571,0.017520654102201584,5.999424779849775,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-26,9,3,0.9471685419068628,0.016793504232263327,5.413749787914949,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-27,9,3,0.9807363118817976,0.01881582468169816,6.478349109714831,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-02-28,6,3,0.9936681681553389,0.02821012781352673,9.401555268913429,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-04-15,9,3,1.0020050821442885,0.023364700027612356,9.522617207456454,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-04-17,6,3,1.0170377583156172,0.03324023126725057,12.662636242742959,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-04-18,9,3,1.0254219206198512,0.025920076128845896,11.374662938359263,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-04-19,9,3,0.9976508048859204,0.022835208881136007,9.134867855644169,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-04-20,6,3,0.9769668581886609,0.024382867601361925,7.19877376687985,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-05,6,3,0.9773159219375683,0.02336678634862038,6.682132703768372,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-06,9,3,0.9925319314084653,0.02170448657043803,8.357858889647783,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-07,6,3,0.9981615443363957,0.030006487256349728,10.604377641672855,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-08,9,3,1.0026901250724753,0.02349301932169821,9.594238007137156,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-13,6,3,0.9987928190619225,0.025901699050868743,7.869046920995376,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-16,9,3,0.9479575775839988,0.019985672737993176,7.65046495086895,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-19,9,3,0.9218620127233578,0.01754333428802164,6.150863861652778,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-20,9,3,0.9231497265839629,0.017597829910208713,6.1869971810142195,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-21,9,3,0.916865240244221,0.018316114316774143,6.781447055856836,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-22,9,3,0.9151974285826281,0.018667025350050655,7.063134494816738,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-26,9,3,0.9148395765359477,0.0182689633832123,6.758380320491597,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-27,9,3,0.9145589457448687,0.01834099613334304,6.826176678316559,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2025-05-28,9,3,0.9156674143542942,0.018591528879698904,7.017557305650076,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2026-01-05,9,3,0.9219708555076439,0.01680734456925282,5.633312429879963,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2026-01-06,9,3,0.9341327338512533,0.016489129526233645,5.273554048574676,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2026-01-07,9,3,0.9418474960374121,0.016762015076829916,5.394411548686878,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2026-01-08,6,3,0.9460360200903033,0.02249808664682935,6.414198933752981,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ca,2026-01-09,9,3,0.9334381768078917,0.01656263689785598,5.337918750543996,0.9475983868849661,0.003641778697386675,2.5241950682689036,False
Ce,2025-02-17,6,2,1.5100020586391225,0.1861586546245709,0.3175883170089212,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-18,7,3,1.6538898643828548,0.18081082423601372,0.8890063305025818,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-24,5,3,1.723929009705936,0.21650405940251313,0.6274425651070419,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-25,5,3,1.5272787306033322,0.20089427252625613,0.6755458962635839,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-26,8,3,1.691392191750633,0.17523459629836588,0.48863911549678807,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-27,6,2,1.8322169190785518,0.1867438708356336,1.0134720001868713,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-02-28,5,3,1.6739474225168036,0.21620773927501682,0.6849686807280011,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-04-15,7,3,1.7762492109231904,0.1808316833257293,0.225584140102554,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-04-17,5,3,1.905483843393555,0.21761301780451983,0.32810267791142034,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-04-18,6,3,1.7004056947645707,0.18895100635394182,0.28131108611306094,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-04-19,6,3,1.695570438512607,0.1877716874935264,0.2761233753606218,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-04-20,4,3,1.3556313183889463,0.30301286896140767,1.722698626281377,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-05,4,3,1.6519032126721616,0.2318600950969601,0.47715289025644436,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-06,6,2,1.6560578090655844,0.1850771188568643,0.3563716459654239,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-07,5,3,1.6224091325086916,0.21521278899765306,0.30907560231297837,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-08,6,2,1.699237706029336,0.18540841200052993,0.3226757518327294,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-13,4,3,1.6655818337715396,0.23162056962165692,0.576194389917536,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-16,6,3,1.6209453869272483,0.18832714219986504,0.3668207274429175,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-19,7,3,1.4794965973520362,0.17841399254533696,0.4081251307387878,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-20,8,3,1.6081738947878808,0.17307813538361996,0.6305850275915977,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-21,5,2,1.6037554517660435,0.19446985742412365,0.7011019963763855,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-22,6,3,1.4199215584341704,0.1875031338085927,0.6022610796890959,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-26,6,2,1.3600719679605506,0.18394851559625489,0.319446497929501,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-27,8,3,1.7650270172854385,0.17256614923740057,0.7290091045922761,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2025-05-28,7,3,1.480424277044473,0.1808970832644904,0.741238420725169,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2026-01-05,7,3,1.5434089321434836,0.1814258806823262,0.8625541367282509,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2026-01-06,6,3,1.6298652354968373,0.18770948034430812,0.8547254175582767,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2026-01-07,6,2,1.707211264495292,0.18401294623067307,0.27393151938564236,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2026-01-08,4,2,1.4377889506301613,0.2253040737780256,0.24038231506483984,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Ce,2026-01-09,6,3,1.8692533132282798,0.18750759310182036,0.568173401467323,1.6331767223968576,0.035305217707762425,0.48116803236875144,True
Co,2025-02-17,9,3,6.298629786330798,0.33352595706530513,0.5448092873091299,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-18,9,3,6.250794625710293,0.332764647536426,0.4619296709155527,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-24,6,3,6.792853934759332,0.40233860369336555,0.4843363457797503,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-25,9,3,6.730977418006917,0.33375242412311035,0.7646086272547794,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-26,9,3,6.394326370436628,0.33481926563319075,0.9489886077293735,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-27,9,3,6.591518792441652,0.3369528373005279,0.6555652072921339,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-02-28,6,3,6.534113926722043,0.41029051385869947,0.4517884177619023,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-04-15,9,3,6.021010519569928,0.32570526248561843,0.4690105918450277,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-04-17,6,3,6.320230633201571,0.4037211702664128,0.325374901342988,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-04-18,9,3,6.466271582296584,0.3299363276918834,0.25619534394748733,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-04-19,9,3,6.253968822672187,0.33278315706768896,0.3579234042584639,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-04-20,6,3,6.656841738868568,0.40189352603380896,0.24787913653914,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-05,6,3,6.323888695816046,0.4055558125588814,0.35975576270665754,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-06,9,3,6.269590230259509,0.3294828957788485,0.9523604190551457,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-07,6,3,5.940999700526559,0.4058080050868446,0.8908227084151431,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-08,9,3,6.147452375489203,0.33220000355635626,0.29555919906008704,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-13,6,3,5.954793412130523,0.404155917468027,0.41370003289388413,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-16,9,3,6.059189417796025,0.32641263429036455,0.65458266633529,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-19,9,3,5.993773933969947,0.325954401617799,0.7823811727419805,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-20,9,3,6.497379531006583,0.3287235745318759,0.854924084908095,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-21,9,3,6.141390733767804,0.327084970242315,0.3858813717684912,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-22,9,3,6.591472039982404,0.3291317237019515,0.33205523262730324,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-26,9,3,5.905849563581678,0.32714189222769524,0.7576150352782776,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-27,9,3,6.030677849642449,0.3256558392803776,0.2918502619234007,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2025-05-28,9,3,6.175226283314025,0.3280247825372063,0.22017052449293134,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2026-01-05,9,3,6.594165551822752,0.32864352814778475,0.3252492581186459,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2026-01-06,9,3,6.184277290295549,0.352842106296061,1.1903509816833824,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2026-01-07,9,3,6.554978199264978,0.3262756744671255,0.23383645803151035,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2026-01-08,6,3,5.694223030794649,0.3996630889439621,0.3075992369658975,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Co,2026-01-09,9,3,6.070006817438606,0.3279996852887117,0.32331923080467917,6.280146330430233,0.06320791079249431,0.5921746622772792,True
Cr,2025-02-17,6,2,0.8693652643223384,0.050929425514065596,0.21977715774679382,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-18,6,2,0.9057870916872812,0.05097294220938245,0.20366697413325388,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-24,4,2,0.9676966381549955,0.06841787124474796,1.1244624756013355,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-25,6,2,0.8925512160865247,0.051770124885167135,0.8321733838940091,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-26,6,2,0.9458970091866175,0.0523457910747122,0.7905113907891627,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-27,6,2,0.9119221086284601,0.051792467597713894,0.9033912584425314,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-02-28,4,2,0.9628120159026566,0.0865058738192255,1.8234508375855556,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-04-15,6,2,0.8442084968109078,0.05094929598162463,0.6891419686042985,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-04-17,4,2,0.9055346478808999,0.06240924920623655,0.19480806180339327,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-04-18,6,2,0.9142701590288206,0.05172678743945519,0.3617790736872221,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-04-19,6,2,0.9221691369639673,0.05172867488849994,0.6314258305556754,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-04-20,4,2,0.9800621026196328,0.06598234402705971,0.9940281235579205,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-05,4,2,0.8697897528496608,0.06605558087606533,1.073815458760211,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-06,6,2,0.9463144711259538,0.05179434779479875,0.7840718552125543,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-07,4,2,0.9150803459718101,0.062469588540072826,0.6790189414561043,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-08,6,2,0.9320307564126462,0.050994851961963315,0.20558639696599915,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-13,4,2,0.8407840001416799,0.06226580360624614,0.29869330917801534,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-16,6,2,0.9670225688958448,0.05330672155046318,0.8888883074273132,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
Cr,2025-05-19,6,2,0.8474080055724206,0.05079721810201856,0.5306016736942374,0.9240750410229694,0.010024353194043798,0.7383769366221703,True
