element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff
Ba,2025-02-17,09:42:57,1,5,Marine Shale,788.000000,7.700000,887.000000,15.000000,16.586699,22.363331
La,2025-02-17,09:42:57,1,5,Marine Shale,52.500000,0.600000,101.000000,25.000000,25.458463,35.680994
Ce,2025-02-17,09:42:57,1,5,Marine Shale,108.000000,0.900000,195.000000,30.000000,29.781900,42.272468
Pr,2025-02-17,09:42:57,1,5,Marine Shale,12.600000,0.100000,179.000000,42.000000,0.707107,42.005952
Nd,2025-02-17,09:42:57,1,5,Marine Shale,49.200000,0.500000,233.000000,61.000000,0.000000,61.000000
Pb,2025-02-17,09:42:57,1,5,Marine Shale,35.000000,0.100000,36.000000,1.000000,1.263390,1.611258
Th,2025-02-17,09:42:57,1,5,Marine Shale,15.800000,0.100000,29.000000,2.000000,2.363586,3.096214
U,2025-02-17,09:42:57,1,5,Marine Shale,5.760000,0.100000,9.000000,1.000000,1.204958,1.565862
Mg,2025-02-17,09:45:39,1,6,Black Shale,12300.000000,77.000000,12311.000000,717.000000,729.051940,1022.548645
Al,2025-02-17,09:45:39,1,6,Black Shale,80300.000000,409.000000,95442.000000,355.000000,792.651452,868.516738
Si,2025-02-17,09:45:39,1,6,Black Shale,235700.000000,1217.000000,255460.000000,461.000000,1639.512953,1703.092400
P,2025-02-17,09:45:39,1,6,Black Shale,400.000000,0.100000,214.000000,17.000000,113.064694,114.335581
S,2025-02-17,09:45:39,1,6,Black Shale,58400.000000,470.000000,44315.000000,109.000000,267.404182,288.766336
K,2025-02-17,09:45:39,1,6,Black Shale,31800.000000,281.000000,32452.000000,79.000000,168.353556,185.967524
Ca,2025-02-17,09:45:39,1,6,Black Shale,11800.000000,201.000000,11407.000000,36.000000,341.827967,343.718430
Ti,2025-02-17,09:45:39,1,6,Black Shale,3600.000000,47.000000,3538.000000,74.000000,74.284817,104.853393
V,2025-02-17,09:45:39,1,6,Black Shale,219.120000,3.640000,198.000000,20.000000,16.742009,26.082463
Cr,2025-02-17,09:45:39,1,6,Black Shale,98.350000,3.600000,84.000000,10.000000,9.209109,13.594399
Mn,2025-02-17,09:45:39,1,6,Black Shale,200.000000,0.000000,183.000000,10.000000,11.095593,14.936940
Fe,2025-02-17,09:45:39,1,6,Black Shale,66400.000000,544.000000,65378.000000,145.000000,155.394092,212.537817
Co,2025-02-17,09:45:39,1,6,Black Shale,40.650000,0.700000,276.000000,20.000000,20.211066,28.433909
Ni,2025-02-17,09:45:39,1,6,Black Shale,192.940000,16.490000,202.000000,4.000000,4.359267,5.916351
Cu,2025-02-17,09:45:39,1,6,Black Shale,176.650000,3.240000,189.000000,4.000000,3.915371,5.597332
Zn,2025-02-17,09:45:39,1,6,Black Shale,62.520000,7.800000,56.000000,2.000000,2.669870,3.335896
As,2025-02-17,09:45:39,1,6,Black Shale,46.240000,0.830000,44.000000,1.000000,1.391365,1.713446
Rb,2025-02-17,09:45:39,1,6,Black Shale,140.000000,5.000000,157.000000,1.000000,1.278521,1.623150
Sr,2025-02-17,09:45:39,1,6,Black Shale,86.740000,1.710000,78.000000,1.000000,0.931982,1.366964
Y,2025-02-17,09:45:39,1,6,Black Shale,26.700000,0.600000,27.000000,1.000000,0.828189,1.298421
Zr,2025-02-17,09:45:39,1,6,Black Shale,144.240000,2.310000,139.000000,1.000000,1.391365,1.713446
Nb,2025-02-17,09:45:39,1,6,Black Shale,8.810000,0.100000,3.000000,1.000000,0.989949,1.407125
Mo,2025-02-17,09:45:39,1,6,Black Shale,159.410000,4.290000,144.000000,1.000000,1.983910,2.221688
Ba,2025-02-17,09:45:39,1,6,Black Shale,454.110000,29.590000,467.000000,14.000000,15.613111,20.970675
La,2025-02-17,09:45:39,1,6,Black Shale,33.530000,0.510000,73.000000,23.000000,14.737330,27.316458
Ce,2025-02-17,09:45:39,1,6,Black Shale,64.580000,1.120000,91.000000,28.000000,24.725777,37.354572
Pb,2025-02-17,09:45:39,1,6,Black Shale,52.180000,0.880000,57.000000,1.000000,1.368136,1.694637
Th,2025-02-17,09:45:39,1,6,Black Shale,9.310000,0.100000,23.000000,2.000000,2.322548,3.065001
U,2025-02-17,09:45:39,1,6,Black Shale,25.400000,0.510000,30.000000,1.000000,1.164375,1.534852
Al,2025-02-17,09:48:24,1,7,Carbonatite,1958.000000,212.000000,2455.000000,150.000000,393.265928,420.901520
Si,2025-02-17,09:48:24,1,7,Carbonatite,16222.000000,514.000000,12864.000000,96.000000,360.179042,372.753192
Fe,2025-02-17,09:48:24,1,7,Carbonatite,20562.000000,700.000000,14415.000000,61.000000,249.653985,256.998273
Ni,2025-02-17,09:48:24,1,7,Carbonatite,13.000000,1.000000,16.000000,3.000000,2.464491,3.882489
Y,2025-02-17,09:48:24,1,7,Carbonatite,81.000000,0.500000,70.000000,1.000000,1.574028,1.864823
Mg,2025-02-17,09:51:04,1,8,Phosphate,6400.000000,51.000000,9184.000000,1002.000000,891.789297,1341.376961
Al,2025-02-17,09:51:04,1,8,Phosphate,12000.000000,138.000000,15677.000000,220.000000,478.559805,526.706262
Si,2025-02-17,09:51:04,1,8,Phosphate,61400.000000,316.000000,62043.000000,222.000000,614.596196,653.461922
Fe,2025-02-17,09:51:04,1,8,Phosphate,39200.000000,199.000000,41855.000000,132.000000,179.887556,223.122237
Zn,2025-02-17,09:51:04,1,8,Phosphate,26.400000,3.660000,33.000000,3.000000,2.544377,3.933682
As,2025-02-17,09:51:04,1,8,Phosphate,24.800000,0.920000,24.000000,2.000000,1.615893,2.571208
Sr,2025-02-17,09:51:04,1,8,Phosphate,703.600000,3.110000,701.000000,3.000000,3.963065,4.970501
Zr,2025-02-17,09:51:04,1,8,Phosphate,58.710000,10.770000,68.000000,2.000000,5.468269,5.822539
Ba,2025-02-17,09:51:04,1,8,Phosphate,219.700000,1.720000,276.000000,16.000000,19.053760,24.880630
Pb,2025-02-17,09:51:04,1,8,Phosphate,76.700000,4.080000,78.000000,2.000000,4.425121,4.856099
Mg,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,26800.000000,1206.000000,26511.000000,745.000000,759.354348,1063.787585
Al,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,34500.000000,1111.000000,38209.000000,237.000000,1108.266918,1133.324561
Si,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,131800.000000,982.000000,136011.000000,300.000000,858.155672,909.082591
P,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,1400.000000,288.000000,1202.000000,19.000000,87.424656,89.465471
S,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,15300.000000,1100.000000,13979.000000,45.000000,140.893190,147.905007
K,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,13800.000000,8301.000000,13110.000000,38.000000,88.450171,96.267506
Ca,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,59900.000000,1215.000000,59060.000000,122.000000,414.003852,431.605363
Ti,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,1500.000000,150.000000,1447.000000,54.000000,53.785036,76.215682
V,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,130.000000,6.000000,114.000000,15.000000,13.251512,20.015058
Mn,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,267.000000,34.000000,227.000000,8.000000,8.262908,11.501115
Fe,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,21200.000000,1088.000000,18975.000000,53.000000,163.645205,172.013817
Co,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,12.000000,1.500000,69.000000,10.000000,8.808504,13.326280
Ni,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,29.000000,0.010000,25.000000,2.000000,1.790287,2.684237
Cu,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,66.000000,9.000000,65.000000,2.000000,2.268090,3.023943
Zn,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,74.000000,9.000000,83.000000,2.000000,2.128861,2.920968
As,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,67.000000,5.000000,55.000000,1.000000,1.162998,1.533807
Sr,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,420.000000,30.000000,354.000000,1.000000,2.515338,2.706829
Y,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,13.000000,0.010000,9.000000,1.000000,0.713874,1.228664
Zr,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,53.000000,0.010000,43.000000,1.000000,1.097783,1.484967
Mo,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,35.000000,0.900000,32.000000,1.000000,1.065183,1.461032
Ba,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,290.000000,40.000000,215.000000,10.000000,16.503011,19.296356
Pb,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,38.000000,4.000000,40.000000,1.000000,0.972375,1.394816
Th,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,5.000000,0.210000,9.000000,2.000000,1.519712,2.511877
U,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,5.000000,0.400000,8.000000,1.000000,0.875229,1.328919
Mg,2025-02-17,12:59:00,2,59,Marine Shale,15683.000000,60.000000,16325.000000,707.000000,623.651959,942.757003
Al,2025-02-17,12:59:00,2,59,Marine Shale,111132.000000,212.000000,121521.000000,393.000000,1129.053095,1195.495668
Si,2025-02-17,12:59:00,2,59,Marine Shale,222717.000000,400.000000,234870.000000,447.000000,1745.922558,1802.235994
P,2025-02-17,12:59:00,2,59,Marine Shale,1615.000000,9.000000,1104.000000,21.000000,114.115102,116.031273
S,2025-02-17,12:59:00,2,59,Marine Shale,7150.000000,80.000000,4317.000000,30.000000,76.901515,82.546005
K,2025-02-17,12:59:00,2,59,Marine Shale,28640.000000,83.000000,27217.000000,70.000000,137.230155,154.052314
Ca,2025-02-17,12:59:00,2,59,Marine Shale,21084.000000,71.000000,18384.000000,49.000000,390.642432,393.703581
Ti,2025-02-17,12:59:00,2,59,Marine Shale,5126.000000,18.000000,5036.000000,79.000000,77.225008,110.474893
V,2025-02-17,12:59:00,2,59,Marine Shale,220.000000,1.400000,189.000000,21.000000,20.216140,29.149482
Cr,2025-02-17,12:59:00,2,59,Marine Shale,109.000000,1.000000,104.000000,10.000000,6.996565,12.204586
Mn,2025-02-17,12:59:00,2,59,Marine Shale,1162.000000,8.000000,997.000000,14.000000,16.289252,21.478821
Fe,2025-02-17,12:59:00,2,59,Marine Shale,67912.000000,155.000000,67345.000000,151.000000,189.790472,242.531283
Co,2025-02-17,12:59:00,2,59,Marine Shale,22.700000,0.100000,115.000000,20.000000,22.311461,29.963332
Ni,2025-02-17,12:59:00,2,59,Marine Shale,82.800000,0.800000,95.000000,3.000000,2.967776,4.219916
Cu,2025-02-17,12:59:00,2,59,Marine Shale,31.000000,0.600000,53.000000,3.000000,7.755478,8.315494
Zn,2025-02-17,12:59:00,2,59,Marine Shale,186.000000,1.700000,224.000000,3.000000,7.688236,8.252816
As,2025-02-17,12:59:00,2,59,Marine Shale,25.700000,0.700000,26.000000,1.000000,1.080123,1.471960
Rb,2025-02-17,12:59:00,2,59,Marine Shale,147.000000,1.000000,150.000000,1.000000,1.226053,1.582152
Sr,2025-02-17,12:59:00,2,59,Marine Shale,178.000000,1.400000,178.000000,1.000000,1.403978,1.723704
Y,2025-02-17,12:59:00,2,59,Marine Shale,36.500000,0.100000,35.000000,1.000000,1.026882,1.433348
Zr,2025-02-17,12:59:00,2,59,Marine Shale,134.000000,1.600000,135.000000,1.000000,1.372813,1.698416
Nb,2025-02-17,12:59:00,2,59,Marine Shale,15.300000,0.100000,10.000000,1.000000,0.959099,1.385594
Ba,2025-02-17,12:59:00,2,59,Marine Shale,788.000000,7.700000,854.000000,15.000000,16.586699,22.363331
Ce,2025-02-17,12:59:00,2,59,Marine Shale,108.000000,0.900000,129.000000,29.000000,29.781900,41.568757
Pb,2025-02-17,12:59:00,2,59,Marine Shale,35.000000,0.100000,36.000000,1.000000,1.263390,1.611258
Th,2025-02-17,12:59:00,2,59,Marine Shale,15.800000,0.100000,24.000000,2.000000,2.363586,3.096214
U,2025-02-17,12:59:00,2,59,Marine Shale,5.760000,0.100000,8.000000,1.000000,1.204958,1.565862
Mg,2025-02-17,13:01:46,2,60,Black Shale,12300.000000,77.000000,12515.000000,690.000000,729.051940,1003.801141
Al,2025-02-17,13:01:46,2,60,Black Shale,80300.000000,409.000000,95690.000000,350.000000,792.651452,866.485040
Si,2025-02-17,13:01:46,2,60,Black Shale,235700.000000,1217.000000,255388.000000,455.000000,1639.512953,1701.478100
P,2025-02-17,13:01:46,2,60,Black Shale,400.000000,0.100000,209.000000,17.000000,113.064694,114.335581
S,2025-02-17,13:01:46,2,60,Black Shale,58400.000000,470.000000,44493.000000,108.000000,267.404182,288.390355
K,2025-02-17,13:01:46,2,60,Black Shale,31800.000000,281.000000,32706.000000,79.000000,168.353556,185.967524
Ca,2025-02-17,13:01:46,2,60,Black Shale,11800.000000,201.000000,11396.000000,36.000000,341.827967,343.718430
Ti,2025-02-17,13:01:46,2,60,Black Shale,3600.000000,47.000000,3632.000000,74.000000,74.284817,104.853393
V,2025-02-17,13:01:46,2,60,Black Shale,219.120000,3.640000,178.000000,20.000000,16.742009,26.082463
Cr,2025-02-17,13:01:46,2,60,Black Shale,98.350000,3.600000,78.000000,10.000000,9.209109,13.594399
Mn,2025-02-17,13:01:46,2,60,Black Shale,200.000000,0.000000,189.000000,10.000000,11.095593,14.936940
Fe,2025-02-17,13:01:46,2,60,Black Shale,66400.000000,544.000000,65386.000000,144.000000,155.394092,211.856847
Co,2025-02-17,13:01:46,2,60,Black Shale,40.650000,0.700000,277.000000,21.000000,20.211066,29.145963
Ni,2025-02-17,13:01:46,2,60,Black Shale,192.940000,16.490000,204.000000,4.000000,4.359267,5.916351
Cu,2025-02-17,13:01:46,2,60,Black Shale,176.650000,3.240000,178.000000,4.000000,3.915371,5.597332
Zn,2025-02-17,13:01:46,2,60,Black Shale,62.520000,7.800000,55.000000,2.000000,2.669870,3.335896
As,2025-02-17,13:01:46,2,60,Black Shale,46.240000,0.830000,43.000000,1.000000,1.391365,1.713446
Rb,2025-02-17,13:01:46,2,60,Black Shale,140.000000,5.000000,156.000000,1.000000,1.278521,1.623150
Sr,2025-02-17,13:01:46,2,60,Black Shale,86.740000,1.710000,79.000000,1.000000,0.931982,1.366964
Y,2025-02-17,13:01:46,2,60,Black Shale,26.700000,0.600000,28.000000,1.000000,0.828189,1.298421
Zr,2025-02-17,13:01:46,2,60,Black Shale,144.240000,2.310000,140.000000,1.000000,1.391365,1.713446
Nb,2025-02-17,13:01:46,2,60,Black Shale,8.810000,0.100000,5.000000,1.000000,0.989949,1.407125
Mo,2025-02-17,13:01:46,2,60,Black Shale,159.410000,4.290000,143.000000,1.000000,1.983910,2.221688
Ba,2025-02-17,13:01:46,2,60,Black Shale,454.110000,29.590000,436.000000,13.000000,15.613111,20.316723
Ce,2025-02-17,13:01:46,2,60,Black Shale,64.580000,1.120000,106.000000,27.000000,24.725777,36.610982
Pb,2025-02-17,13:01:46,2,60,Black Shale,52.180000,0.880000,57.000000,1.000000,1.368136,1.694637
Th,2025-02-17,13:01:46,2,60,Black Shale,9.310000,0.100000,22.000000,2.000000,2.322548,3.065001
U,2025-02-17,13:01:46,2,60,Black Shale,25.400000,0.510000,31.000000,1.000000,1.164375,1.534852
Al,2025-02-17,13:04:49,2,61,Carbonatite,1958.000000,212.000000,2193.000000,145.000000,393.265928,419.145666
Si,2025-02-17,13:04:49,2,61,Carbonatite,16222.000000,514.000000,12601.000000,92.000000,360.179042,371.743113
Fe,2025-02-17,13:04:49,2,61,Carbonatite,20562.000000,700.000000,14559.000000,58.000000,249.653985,256.302774
Ni,2025-02-17,13:04:49,2,61,Carbonatite,13.000000,1.000000,19.000000,3.000000,2.464491,3.882489
Y,2025-02-17,13:04:49,2,61,Carbonatite,81.000000,0.500000,68.000000,1.000000,1.574028,1.864823
Mg,2025-02-17,13:07:45,2,62,Phosphate,6400.000000,51.000000,8025.000000,953.000000,891.789297,1305.180888
Al,2025-02-17,13:07:45,2,62,Phosphate,12000.000000,138.000000,15376.000000,214.000000,478.559805,524.228468
Si,2025-02-17,13:07:45,2,62,Phosphate,61400.000000,316.000000,60552.000000,215.000000,614.596196,651.117104
Fe,2025-02-17,13:07:45,2,62,Phosphate,39200.000000,199.000000,40981.000000,128.000000,179.887556,220.779376
Zn,2025-02-17,13:07:45,2,62,Phosphate,26.400000,3.660000,33.000000,3.000000,2.544377,3.933682
As,2025-02-17,13:07:45,2,62,Phosphate,24.800000,0.920000,24.000000,2.000000,1.615893,2.571208
Rb,2025-02-17,13:07:45,2,62,Phosphate,5.080000,2.030000,3.000000,1.000000,0.500000,1.118034
Sr,2025-02-17,13:07:45,2,62,Phosphate,703.600000,3.110000,695.000000,3.000000,3.963065,4.970501
Zr,2025-02-17,13:07:45,2,62,Phosphate,58.710000,10.770000,62.000000,2.000000,5.468269,5.822539
Ba,2025-02-17,13:07:45,2,62,Phosphate,219.700000,1.720000,259.000000,16.000000,19.053760,24.880630
Pb,2025-02-17,13:07:45,2,62,Phosphate,76.700000,4.080000,82.000000,2.000000,4.425121,4.856099
Mg,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,26800.000000,1206.000000,26614.000000,724.000000,759.354348,1049.187793
Al,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,34500.000000,1111.000000,38045.000000,233.000000,1108.266918,1132.494839
Si,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,131800.000000,982.000000,136761.000000,298.000000,858.155672,908.424547
P,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,1400.000000,288.000000,1335.000000,20.000000,87.424656,89.683167
S,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,15300.000000,1100.000000,14241.000000,45.000000,140.893190,147.905007
K,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,13800.000000,8301.000000,13020.000000,37.000000,88.450171,95.877175
Ca,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,59900.000000,1215.000000,59020.000000,121.000000,414.003852,431.323764
Ti,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,1500.000000,150.000000,1475.000000,53.000000,53.785036,75.510464
V,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,130.000000,6.000000,114.000000,15.000000,13.251512,20.015058
Mn,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,267.000000,34.000000,238.000000,8.000000,8.262908,11.501115
Fe,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,21200.000000,1088.000000,19282.000000,53.000000,163.645205,172.013817
Co,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,12.000000,1.500000,78.000000,10.000000,8.808504,13.326280
Ni,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,29.000000,0.010000,27.000000,2.000000,1.790287,2.684237
Cu,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,66.000000,9.000000,67.000000,2.000000,2.268090,3.023943
Zn,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,74.000000,9.000000,84.000000,2.000000,2.128861,2.920968
As,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,67.000000,5.000000,56.000000,1.000000,1.162998,1.533807
Sr,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,420.000000,30.000000,358.000000,1.000000,2.515338,2.706829
Y,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,13.000000,0.010000,9.000000,1.000000,0.713874,1.228664
Zr,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,53.000000,0.010000,46.000000,1.000000,1.097783,1.484967
Mo,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,35.000000,0.900000,27.000000,1.000000,1.065183,1.461032
Ba,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,290.000000,40.000000,209.000000,10.000000,16.503011,19.296356
Pb,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,38.000000,4.000000,40.000000,1.000000,0.972375,1.394816
Th,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,5.000000,0.210000,7.000000,2.000000,1.519712,2.511877
U,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,5.000000,0.400000,9.000000,1.000000,0.875229,1.328919
Mg,2025-02-17,16:02:48,3,137,Marine Shale,15683.000000,60.000000,16335.000000,685.000000,623.651959,926.372909
Al,2025-02-17,16:02:48,3,137,Marine Shale,111132.000000,212.000000,120220.000000,387.000000,1129.053095,1193.536715
Si,2025-02-17,16:02:48,3,137,Marine Shale,222717.000000,400.000000,233917.000000,442.000000,1745.922558,1801.002381
P,2025-02-17,16:02:48,3,137,Marine Shale,1615.000000,9.000000,1268.000000,22.000000,114.115102,116.216421
S,2025-02-17,16:02:48,3,137,Marine Shale,7150.000000,80.000000,4297.000000,29.000000,76.901515,82.187852
K,2025-02-17,16:02:48,3,137,Marine Shale,28640.000000,83.000000,27207.000000,70.000000,137.230155,154.052314
Ca,2025-02-17,16:02:48,3,137,Marine Shale,21084.000000,71.000000,18670.000000,49.000000,390.642432,393.703581
Ti,2025-02-17,16:02:48,3,137,Marine Shale,5126.000000,18.000000,4900.000000,79.000000,77.225008,110.474893
V,2025-02-17,16:02:48,3,137,Marine Shale,220.000000,1.400000,178.000000,21.000000,20.216140,29.149482
Cr,2025-02-17,16:02:48,3,137,Marine Shale,109.000000,1.000000,96.000000,10.000000,6.996565,12.204586
Mn,2025-02-17,16:02:48,3,137,Marine Shale,1162.000000,8.000000,1030.000000,14.000000,16.289252,21.478821
Fe,2025-02-17,16:02:48,3,137,Marine Shale,67912.000000,155.000000,67268.000000,150.000000,189.790472,241.909948
Co,2025-02-17,16:02:48,3,137,Marine Shale,22.700000,0.100000,150.000000,20.000000,22.311461,29.963332
Ni,2025-02-17,16:02:48,3,137,Marine Shale,82.800000,0.800000,102.000000,3.000000,2.967776,4.219916
Cu,2025-02-17,16:02:48,3,137,Marine Shale,31.000000,0.600000,52.000000,3.000000,7.755478,8.315494
