element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff,rules,reason
K,2025-02-17,09:48:24,1,7,Carbonatite,1328.000000,166.000000,122.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-02-17,09:48:24,1,7,Carbonatite,345200.000000,2716.000000,352881.000000,664.000000,2302.419916,2396.254049,3,345200 ppm > 4x max shale (59900 ppm)
Ti,2025-02-17,09:48:24,1,7,Carbonatite,1500.000000,12.000000,276.000000,86.000000,63.055342,106.639468,4,manual: knock-on interference / matrix absorption
Cr,2025-02-17,09:48:24,1,7,Carbonatite,5.000000,0.010000,482.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,09:48:24,1,7,Carbonatite,3330.000000,3330.000000,2390.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-02-17,09:48:24,1,7,Carbonatite,5.000000,0.010000,12.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-02-17,09:48:24,1,7,Carbonatite,87.000000,1.500000,63.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-02-17,09:48:24,1,7,Carbonatite,0.000000,0.010000,15.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-02-17,09:48:24,1,7,Carbonatite,12000.000000,50.000000,9298.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-02-17,09:48:24,1,7,Carbonatite,65.000000,3.000000,87.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-02-17,09:48:24,1,7,Carbonatite,3900.000000,60.000000,2798.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-02-17,09:48:24,1,7,Carbonatite,0.000000,0.010000,11.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-02-17,09:48:24,1,7,Carbonatite,1000.000000,50.000000,1178.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-02-17,09:48:24,1,7,Carbonatite,750.000000,10.000000,1223.000000,34.000000,32.628444,47.123406,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,09:48:24,1,7,Carbonatite,1700.000000,100.000000,2225.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Nd,2025-02-17,09:48:24,1,7,Carbonatite,480.000000,15.000000,563.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-17,09:48:24,1,7,Carbonatite,0.000000,0.010000,9.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-17,09:48:24,1,7,Carbonatite,0.000000,0.010000,129.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-17,09:51:04,1,8,Phosphate,113500.000000,22979.000000,92553.000000,253.000000,559.462522,614.009213,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-17,09:51:04,1,8,Phosphate,282600.000000,839.000000,293784.000000,572.000000,1215.927377,1343.749748,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-17,09:51:04,1,8,Phosphate,900.000000,34.000000,618.000000,93.000000,73.212847,118.360132,4,manual: knock-on interference / matrix absorption
Cr,2025-02-17,09:51:04,1,8,Phosphate,49.200000,5.200000,411.000000,18.000000,19.357406,26.433107,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,09:51:04,1,8,Phosphate,8400.000000,40.000000,8786.000000,51.000000,128.816889,138.545266,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-17,09:51:04,1,8,Phosphate,32.000000,4.170000,86.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Y,2025-02-17,09:51:04,1,8,Phosphate,631.000000,3.900000,680.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-02-17,09:51:04,1,8,Phosphate,0.000000,0.010000,24.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,09:51:04,1,8,Phosphate,0.000000,0.010000,25.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-02-17,09:51:04,1,8,Phosphate,495.800000,4.890000,708.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,09:51:04,1,8,Phosphate,928.800000,10.190000,1280.000000,39.000000,40.544980,56.257403,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-02-17,09:51:04,1,8,Phosphate,351.000000,9.940000,573.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-02-17,09:51:04,1,8,Phosphate,0.000000,0.010000,10.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-17,09:51:04,1,8,Phosphate,0.000000,0.010000,10.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-02-17,09:51:04,1,8,Phosphate,10.700000,0.670000,43.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-02-17,09:51:04,1,8,Phosphate,30.500000,0.710000,29.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-02-17,12:56:14,2,58,Carbonate-Rich Shale,0.000000,0.010000,74.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,12:59:00,2,59,Marine Shale,3.300000,0.100000,19.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-17,12:59:00,2,59,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-02-17,13:01:46,2,60,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-17,13:01:46,2,60,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,4717.000000,35.000000,88.475841,95.147120,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-02-17,13:04:49,2,61,Carbonatite,1328.000000,166.000000,118.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-02-17,13:04:49,2,61,Carbonatite,345200.000000,2716.000000,350619.000000,527.000000,2302.419916,2361.962419,3,345200 ppm > 4x max shale (59900 ppm)
Cr,2025-02-17,13:04:49,2,61,Carbonatite,5.000000,0.010000,509.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,13:04:49,2,61,Carbonatite,3330.000000,3330.000000,2341.000000,25.000000,34.453657,42.568233,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-02-17,13:04:49,2,61,Carbonatite,5.000000,0.010000,11.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-02-17,13:04:49,2,61,Carbonatite,87.000000,1.500000,57.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,14.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-02-17,13:04:49,2,61,Carbonatite,12000.000000,50.000000,9311.000000,25.000000,44.512927,51.052920,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-02-17,13:04:49,2,61,Carbonatite,65.000000,3.000000,90.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-02-17,13:04:49,2,61,Carbonatite,3900.000000,60.000000,2767.000000,8.000000,41.137862,41.908516,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,14.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Cd,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,12.000000,4.000000,3.117157,5.071160,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,16.000000,6.000000,4.086563,7.259477,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-02-17,13:04:49,2,61,Carbonatite,1000.000000,50.000000,1181.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-02-17,13:04:49,2,61,Carbonatite,750.000000,10.000000,1240.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,13:04:49,2,61,Carbonatite,1700.000000,100.000000,2289.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-02-17,13:04:49,2,61,Carbonatite,150.000000,6.000000,212.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-17,13:04:49,2,61,Carbonatite,480.000000,15.000000,592.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,7.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-17,13:04:49,2,61,Carbonatite,0.000000,0.010000,136.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-17,13:07:45,2,62,Phosphate,113500.000000,22979.000000,91079.000000,247.000000,559.462522,611.561374,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-17,13:07:45,2,62,Phosphate,282600.000000,839.000000,292010.000000,559.000000,1215.927377,1338.267681,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-17,13:07:45,2,62,Phosphate,900.000000,34.000000,679.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-02-17,13:07:45,2,62,Phosphate,49.200000,5.200000,423.000000,18.000000,19.357406,26.433107,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,13:07:45,2,62,Phosphate,8400.000000,40.000000,8607.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-17,13:07:45,2,62,Phosphate,32.000000,4.170000,80.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Y,2025-02-17,13:07:45,2,62,Phosphate,631.000000,3.900000,670.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-02-17,13:07:45,2,62,Phosphate,0.000000,0.010000,29.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-02-17,13:07:45,2,62,Phosphate,495.800000,4.890000,754.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,13:07:45,2,62,Phosphate,928.800000,10.190000,1314.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Pr,2025-02-17,13:07:45,2,62,Phosphate,96.700000,1.180000,149.000000,50.000000,28.308252,57.457438,3,96.7 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-17,13:07:45,2,62,Phosphate,351.000000,9.940000,706.000000,73.000000,83.283259,110.747918,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-02-17,13:07:45,2,62,Phosphate,0.000000,0.010000,16.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-17,13:07:45,2,62,Phosphate,0.000000,0.010000,11.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-02-17,13:07:45,2,62,Phosphate,10.700000,0.670000,39.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-02-17,13:07:45,2,62,Phosphate,30.500000,0.710000,31.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-02-17,16:00:13,3,136,Carbonate-Rich Shale,0.000000,0.010000,76.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Cd,2025-02-17,16:02:48,3,137,Marine Shale,0.100000,0.100000,13.000000,4.000000,1.154701,4.163332,1,certified value 0.1 <= 1x uncertainty 0.1 (~0)
Sn,2025-02-17,16:02:48,3,137,Marine Shale,3.300000,0.100000,30.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-17,16:02:48,3,137,Marine Shale,0.000000,0.010000,5.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-02-17,16:05:52,3,138,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Sn,2025-02-17,16:05:52,3,138,Black Shale,0.000000,0.010000,19.000000,5.000000,4.210165,6.536474,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-17,16:05:52,3,138,Black Shale,0.000000,0.010000,11.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-02-17,16:08:44,3,139,Carbonatite,7540.000000,181.000000,4440.000000,849.000000,715.655280,1110.388886,4,manual: knock-on interference / matrix absorption
P,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,4840.000000,36.000000,88.475841,95.519497,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-02-17,16:08:44,3,139,Carbonatite,1328.000000,166.000000,118.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-02-17,16:08:44,3,139,Carbonatite,345200.000000,2716.000000,352086.000000,648.000000,2302.419916,2391.869869,3,345200 ppm > 4x max shale (59900 ppm)
Cr,2025-02-17,16:08:44,3,139,Carbonatite,5.000000,0.010000,549.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,16:08:44,3,139,Carbonatite,3330.000000,3330.000000,2346.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Zn,2025-02-17,16:08:44,3,139,Carbonatite,87.000000,1.500000,61.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,17.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-02-17,16:08:44,3,139,Carbonatite,12000.000000,50.000000,9330.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-02-17,16:08:44,3,139,Carbonatite,65.000000,3.000000,93.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-02-17,16:08:44,3,139,Carbonatite,3900.000000,60.000000,2838.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,13.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Cd,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,15.000000,4.000000,3.117157,5.071160,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,20.000000,6.000000,4.086563,7.259477,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-02-17,16:08:44,3,139,Carbonatite,1000.000000,50.000000,1201.000000,20.000000,24.373365,31.528731,4,manual: knock-on interference / matrix absorption
La,2025-02-17,16:08:44,3,139,Carbonatite,750.000000,10.000000,1214.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,16:08:44,3,139,Carbonatite,1700.000000,100.000000,2254.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-02-17,16:08:44,3,139,Carbonatite,150.000000,6.000000,157.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-17,16:08:44,3,139,Carbonatite,480.000000,15.000000,550.000000,76.000000,92.046741,119.367511,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,9.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-17,16:08:44,3,139,Carbonatite,0.000000,0.010000,155.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-17,16:11:27,3,140,Phosphate,113500.000000,22979.000000,91138.000000,244.000000,559.462522,610.355891,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-17,16:11:27,3,140,Phosphate,282600.000000,839.000000,291228.000000,551.000000,1215.927377,1334.945836,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-17,16:11:27,3,140,Phosphate,900.000000,34.000000,579.000000,93.000000,73.212847,118.360132,4,manual: knock-on interference / matrix absorption
Cr,2025-02-17,16:11:27,3,140,Phosphate,49.200000,5.200000,390.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-02-17,16:11:27,3,140,Phosphate,8400.000000,40.000000,8530.000000,49.000000,128.816889,137.821591,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-17,16:11:27,3,140,Phosphate,32.000000,4.170000,81.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Cu,2025-02-17,16:11:27,3,140,Phosphate,23.000000,5.020000,11.000000,3.000000,5.680503,6.424026,4,manual: knock-on interference / matrix absorption
Y,2025-02-17,16:11:27,3,140,Phosphate,631.000000,3.900000,666.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-02-17,16:11:27,3,140,Phosphate,0.000000,0.010000,39.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-17,16:11:27,3,140,Phosphate,0.000000,0.010000,23.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-02-17,16:11:27,3,140,Phosphate,495.800000,4.890000,757.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-17,16:11:27,3,140,Phosphate,928.800000,10.190000,1307.000000,39.000000,40.544980,56.257403,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-02-17,16:11:27,3,140,Phosphate,351.000000,9.940000,505.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-02-17,16:11:27,3,140,Phosphate,0.000000,0.010000,14.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-17,16:11:27,3,140,Phosphate,0.000000,0.010000,10.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-02-17,16:11:27,3,140,Phosphate,10.700000,0.670000,38.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-02-17,16:11:27,3,140,Phosphate,30.500000,0.710000,30.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-02-18,09:14:28,1,3,Carbonate-Rich Shale,0.000000,0.010000,76.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-18,09:17:08,1,4,Marine Shale,3.300000,0.100000,18.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-18,09:17:08,1,4,Marine Shale,0.000000,0.010000,4.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-02-18,09:19:59,1,5,Black Shale,6.310000,0.870000,5.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-18,09:19:59,1,5,Black Shale,0.000000,0.010000,7.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-02-18,09:22:41,1,6,Carbonatite,7540.000000,181.000000,4133.000000,925.000000,715.655280,1169.524467,4,manual: knock-on interference / matrix absorption
P,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,4904.000000,37.000000,88.475841,95.900857,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-02-18,09:22:41,1,6,Carbonatite,1328.000000,166.000000,286.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-02-18,09:22:41,1,6,Carbonatite,345200.000000,2716.000000,348632.000000,665.000000,2302.419916,2396.531341,3,345200 ppm > 4x max shale (59900 ppm)
Ti,2025-02-18,09:22:41,1,6,Carbonatite,1500.000000,12.000000,313.000000,87.000000,63.055342,107.447551,4,manual: knock-on interference / matrix absorption
V,2025-02-18,09:22:41,1,6,Carbonatite,110.000000,6.000000,75.000000,26.000000,6.930208,26.907764,4,manual: knock-on interference / matrix absorption
Cr,2025-02-18,09:22:41,1,6,Carbonatite,5.000000,0.010000,511.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-02-18,09:22:41,1,6,Carbonatite,3330.000000,3330.000000,2375.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-02-18,09:22:41,1,6,Carbonatite,5.000000,0.010000,12.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-02-18,09:22:41,1,6,Carbonatite,87.000000,1.500000,62.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,16.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-02-18,09:22:41,1,6,Carbonatite,12000.000000,50.000000,9308.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-02-18,09:22:41,1,6,Carbonatite,65.000000,3.000000,93.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-02-18,09:22:41,1,6,Carbonatite,3900.000000,60.000000,2855.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,13.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Cd,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,19.000000,4.000000,3.117157,5.071160,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,23.000000,6.000000,4.086563,7.259477,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-02-18,09:22:41,1,6,Carbonatite,1000.000000,50.000000,1190.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-02-18,09:22:41,1,6,Carbonatite,750.000000,10.000000,1257.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-18,09:22:41,1,6,Carbonatite,1700.000000,100.000000,2359.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-02-18,09:22:41,1,6,Carbonatite,150.000000,6.000000,170.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-18,09:22:41,1,6,Carbonatite,480.000000,15.000000,574.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,8.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-18,09:22:41,1,6,Carbonatite,0.000000,0.010000,136.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-18,09:27:44,1,7,Phosphate,113500.000000,22979.000000,91863.000000,252.000000,559.462522,613.597844,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-18,09:27:44,1,7,Phosphate,282600.000000,839.000000,293061.000000,571.000000,1215.927377,1343.324378,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-18,09:27:44,1,7,Phosphate,900.000000,34.000000,599.000000,95.000000,73.212847,119.937988,4,manual: knock-on interference / matrix absorption
Cr,2025-02-18,09:27:44,1,7,Phosphate,49.200000,5.200000,417.000000,18.000000,19.357406,26.433107,4,manual: knock-on interference / matrix absorption
Mn,2025-02-18,09:27:44,1,7,Phosphate,8400.000000,40.000000,8678.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-18,09:27:44,1,7,Phosphate,32.000000,4.170000,82.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
